Record,Index,Middle,Ring+Pinky,Thumb,Oppose,Grasp_type
1,127,118,136,54,9,1
1,127,121,139,59,0,1
1,122,119,141,56,12,1
1,147,141,142,58,1,1
2,145,0,0,71,1,2
2,165,0,0,93,1,2
2,162,178,199,88,0,1
2,172,215,250,68,4,1
3,166,0,0,91,0,2
3,162,0,0,83,1,2
4,137,0,0,99,9,2
4,200,0,0,135,3,2
4,200,0,0,135,5,2
4,156,0,0,107,7,2
5,153,174,176,73,3,1
5,153,203,202,77,3,1
5,148,191,192,70,1,1
5,199,186,209,108,4,3
6,147,155,180,108,12,1
6,141,165,193,65,10,1
6,194,255,185,58,3,1
7,168,193,189,51,1,1
7,141,151,211,117,12,1
7,168,0,0,67,1,2
7,153,0,0,146,2,2
8,189,255,246,187,0,3
8,191,242,245,190,5,3
8,191,242,245,190,3,3
9,208,214,208,192,0,3
9,225,205,193,188,0,3
9,183,0,0,138,0,2
9,183,0,0,132,8,2
14,255,206,243,199,0,3
14,210,201,255,203,0,3
14,191,205,241,205,1,3
14,227,228,243,206,1,3
22,210,245,243,199,0,3
22,208,125,235,209,0,3
22,213,255,241,207,0,3
22,215,236,236,210,0,3
23,195,0,0,141,0,2
23,174,0,0,124,2,2
24,198,220,214,171,0,3
24,241,255,213,169,0,3
24,244,200,210,146,0,3
24,247,200,194,152,0,3
25,254,188,213,80,5,3
25,236,194,232,109,13,3
25,249,184,231,116,4,3
25,233,177,229,67,1,3
